sid,condition,source,train_type,is_target_source,trialnum,stim_id,windowing,λ,hittype,fold,score,target_time_label,target_switch_label,target_time,target_salience,target_salience_level,test_type,train_kind
11,global,male,athit-other,false,1,33,target,0.0014924955450518306,hit,2,0.3008315,late,far,5.429387755102041,"Q1: [-0.758595, 0.057466)",-0.532264959080369,hit-target,athitother
11,global,male,athit-other,false,2,26,target,0.0014924955450518306,hit,2,-0.118055254,late,near,6.285260770975056,"Q1: [-0.758595, 0.057466)",-0.0426122045759829,hit-target,athitother
11,global,male,athit-other,false,10,37,target,0.0014924955450518306,hit,2,-0.15045959,early,near,2.508888888888889,"Q2: [0.057466, 1.31435]",0.339585810844978,hit-target,athitother
11,global,male,athit-other,false,19,27,target,0.0014924955450518306,hit,2,-0.063975744,late,far,5.575646258503402,"Q1: [-0.758595, 0.057466)",-0.432948496997138,hit-target,athitother
11,global,male,athit-other,false,20,32,target,0.0014924955450518306,hit,2,0.043808334,late,near,6.095056689342403,"Q1: [-0.758595, 0.057466)",-0.487385464085172,hit-target,athitother
11,global,male,athit-other,false,29,38,target,0.0014924955450518306,hit,2,0.0003280267,early,near,2.4761451247165533,"Q2: [0.057466, 1.31435]",0.648401830894195,hit-target,athitother
11,global,male,athit-other,false,33,30,target,0.0014924955450518306,hit,2,0.10968442,late,far,5.269659863945578,"Q1: [-0.758595, 0.057466)",-0.0409083360273392,hit-target,athitother
11,global,male,athit-other,false,34,28,target,0.0014924955450518306,hit,2,0.12168656,late,near,6.049024943310657,"Q1: [-0.758595, 0.057466)",-0.405924702798937,hit-target,athitother
11,global,male,athit-other,false,36,31,target,0.0014924955450518306,hit,2,0.34278265,late,near,5.866213151927438,"Q2: [0.057466, 1.31435]",0.556663079523296,hit-target,athitother
11,global,male,athit-other,false,45,36,target,0.0014924955450518306,hit,2,0.3119161,early,near,4.737460317460317,"Q1: [-0.758595, 0.057466)",-0.0716042882045906,hit-target,athitother
